name	taxonomy_id	taxonomy_lvl	ERR2270938.bracken.report_num	ERR2270938.bracken.report_frac	ERR2270939.bracken.report_num	ERR2270939.bracken.report_frac	ERR2270940.bracken.report_num	ERR2270940.bracken.report_frac	ERR2270941.bracken.report_num	ERR2270941.bracken.report_frac	ERR2270960.bracken.report_num	ERR2270960.bracken.report_frac	ERR2270961.bracken.report_num	ERR2270961.bracken.report_frac	ERR2270962.bracken.report_num	ERR2270962.bracken.report_frac	ERR2271042.bracken.report_num	ERR2271042.bracken.report_frac	ERR2271043.bracken.report_num	ERR2271043.bracken.report_frac	ERR2271236.bracken.report_num	ERR2271236.bracken.report_frac	ERR2271237.bracken.report_num	ERR2271237.bracken.report_frac
Vibrio aquimaris	2587862	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Vibrio coralliilyticus	190893	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Vibrio sinaloensis	379097	S	1	0.00007	0	0.00000	1	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Vibrio anguillarum	55601	S	1	0.00007	1	0.00005	1	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Photobacterium ganghwense	320778	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Halomonas sp. YLGW01	2773308	S	2	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Cobetia pacifica	1055101	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Marinobacterium georgiense	48076	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Marinobacterium aestuarii	1821621	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Spartinivicinus ruber	2683272	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007
Acinetobacter cumulans	2136182	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Acinetobacter variabilis	70346	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Acinetobacter schindleri	108981	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Aquirhabdus parva	2283318	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007
Legionella israelensis	454	S	2	0.00013	0	0.00000	0	0.00000	1	0.00006	0	0.00000	0	0.00000	0	0.00000	1	0.00005	0	0.00000	0	0.00000	0	0.00000
Legionella antarctica	2708020	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Legionella jordanis	456	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007
Ectothiorhodospira haloalkaliphila	421628	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Spiribacter sp. 2438	2666185	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rheinheimera mangrovi	2498451	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007
Francisella tularensis	263	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00011	0	0.00000	0	0.00000	0	0.00000
Simiduia agarivorans	447471	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007
Microbulbifer sp. A4B17	359370	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Methylococcus sp. EFPC2	2812648	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00013
Methylomonas sp. LL1	2785785	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Succinivibrio dextrinosolvens	83771	S	1	0.00007	0	0.00000	1	0.00005	1	0.00006	0	0.00000	0	0.00000	1	0.00005	0	0.00000	2	0.00020	0	0.00000	0	0.00000
Frischella perrara	1267021	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00005	0	0.00000	0	0.00000	2	0.00013
Flagellatimonas centrodinii	2806210	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Agrobacterium larrymoorei	160699	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhizobium etli	29449	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhizobium leguminosarum	384	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00005	0	0.00000	0	0.00000	1	0.00007
Neorhizobium sp. SOG26	2060726	S	2	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sinorhizobium americanum	194963	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Ensifer adhaerens	106592	S	1	0.00007	0	0.00000	0	0.00000	1	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00010	1	0.00007	0	0.00000
Shinella zoogloeoides	352475	S	2	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bradyrhizobium sp. 191	2782659	S	2	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bradyrhizobium sp. A19	2898149	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007	0	0.00000
Bradyrhizobium erythrophlei	1437360	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007	0	0.00000
Rhodopseudomonas palustris	1076	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007
Rhodopseudomonas boonkerdii	475937	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Methylobacterium terrae	2202827	S	1	0.00007	0	0.00000	1	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Methylobacterium sp. WL1	2603276	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007	0	0.00000
Aminobacter sp. SR38	2774562	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Mesorhizobium sp. 131-2-1	2744518	S	1	0.00007	0	0.00000	1	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00010	0	0.00000	0	0.00000
Ancylobacter polymorphus	223390	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00005	1	0.00010	0	0.00000	0	0.00000
Pseudolabrys taiwanensis	331696	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00005	0	0.00000	0	0.00000	0	0.00000
Brucella anthropi	529	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00011	1	0.00010	0	0.00000	0	0.00000
Roseibium aggregatum	187304	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bartonella birtlesii	111504	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Aurantimonas sp. HBX-1	2906072	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00010	0	0.00000	0	0.00000
Methylovirgula ligni	569860	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Aquabacter sp. L1I39	2820278	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Komagataeibacter oboediens	65958	S	5	0.00034	1	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00014	1	0.00007
Bombella sp. KACC 21507	2697033	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Acetobacter persici	1076596	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007	0	0.00000
Azospirillum ramasamyi	682998	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00005	0	0.00000	0	0.00000	1	0.00007
Niveispirillum cyanobacteriorum	1612173	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Terasakiella sp. SH-1	2560057	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhodobacter capsulatus	1061	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007
Cereibacter sphaeroides	1063	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007	0	0.00000
Paroceanicella profunda	2579971	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Profundibacter amoris	2171755	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paracoccus sp. MC1862	2760307	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00008	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Roseovarius faecimaris	2494550	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Leisingera methylohalidivorans	133924	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Novosphingobium sp. EMRT-2	2571749	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007	0	0.00000
Aquisediminimonas profunda	1550733	S	1	0.00007	1	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Altererythrobacter sp. BO-6	2604537	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Croceicoccus marinus	450378	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Zymomonas mobilis	542	S	1	0.00007	0	0.00000	1	0.00005	0	0.00000	0	0.00000	1	0.00008	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Candidatus Neoehrlichia mikurensis	89586	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Marinicauda algicola	2029849	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Cupriavidus oxalaticus	96344	S	11	0.00074	0	0.00000	0	0.00000	1	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007	0	0.00000
Burkholderia cepacia	292	S	1	0.00007	0	0.00000	0	0.00000	1	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00010	0	0.00000	0	0.00000
Burkholderia lata	482957	S	1	0.00007	0	0.00000	1	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paraburkholderia phytofirmans	261302	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00005	0	0.00000	0	0.00000	0	0.00000
Paraburkholderia xenovorans	36873	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007	0	0.00000
Pandoraea pulmonicola	93221	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Variovorax sp. RA8	662548	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007	0	0.00000
Variovorax sp. PAMC 28711	1795631	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhodoferax sediminis	2509614	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Rhodoferax sp. MIZ03	2798804	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Limnohabitans sp. 63ED37-2	1678128	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Diaphorobacter ruginosibacter	1715720	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Orrella dioscoreae	1851544	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Orrella marina	2163011	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Orrella sp. f23	2782176	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Massilia oculi	945844	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Massilia violaceinigra	2045208	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Massilia armeniaca	2072590	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Thiomonas sp. X19	1050370	S	1	0.00007	0	0.00000	1	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Methylibium petroleiphilum	105560	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Vogesella sp. XCS3	2877939	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Chromobacterium rhizoryzae	1778675	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Paludibacterium paludis	1225769	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Neisseria subflava	28449	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Methylophilus medardicus	2588534	S	1	0.00007	0	0.00000	0	0.00000	1	0.00006	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00020	1	0.00007	0	0.00000
Gallionella capsiferriformans	370405	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Candidatus Kinetoplastibacterium sorsogonicusi	1576550	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Campylobacter curvus	200	S	2	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Campylobacter jejuni	197	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	4	0.00031	0	0.00000	2	0.00011	0	0.00000	3	0.00021	1	0.00007
Campylobacter hyointestinalis	198	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00010	0	0.00000	0	0.00000
Campylobacter armoricus	2505970	S	1	0.00007	0	0.00000	1	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Campylobacter coli	195	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	4	0.00028	2	0.00013
Campylobacter showae	204	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Campylobacter corcagiensis	1448857	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Campylobacter helveticus	28898	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	1	0.00006	0	0.00000	1	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Aliarcobacter butzleri	28197	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Aliarcobacter cibarius	255507	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00010	0	0.00000	0	0.00000
[Arcobacter] porcinus	1935204	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00008	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Arcobacter ellisii	913109	S	2	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Malaciobacter marinus	505249	S	1	0.00007	0	0.00000	1	0.00005	0	0.00000	0	0.00000	3	0.00023	1	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Malaciobacter mytili	603050	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	1	0.00006	0	0.00000	1	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sulfurimonas autotrophica	202747	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sulfurimonas hydrogeniphila	2509341	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00005	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sulfurovum indicum	2779528	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Sulfurospirillum cavolei	366522	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007	0	0.00000
Caminibacter mediatlanticus	291048	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00005	0	0.00000	0	0.00000	1	0.00007
Desulfovibrio piger	901	S	1	0.00007	0	0.00000	0	0.00000	1	0.00006	0	0.00000	0	0.00000	0	0.00000	93	0.00507	0	0.00000	2	0.00014	4	0.00026
Candidatus Desulfovibrio trichonymphae	1725232	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00010	1	0.00007	0	0.00000
Oceanidesulfovibrio marinus	370038	S	2	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00005	0	0.00000	0	0.00000	0	0.00000
Paradesulfovibrio bizertensis	376490	S	2	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Oleidesulfovibrio alaskensis	58180	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007
Myxococcus stipitatus	83455	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Corallococcus coralloides	184914	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Archangium violaceum	83451	S	1	0.00007	0	0.00000	0	0.00000	1	0.00006	0	0.00000	0	0.00000	0	0.00000	1	0.00005	0	0.00000	0	0.00000	0	0.00000
Desulfobacter hydrogenophilus	2291	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00005	1	0.00005	0	0.00000	0	0.00000	0	0.00000
Desulfosarcina widdelii	947919	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00007
Desulfocapsa sulfexigens	65555	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00010	0	0.00000	0	0.00000
Geobacter benzoatilyticus	2815309	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Desulfoglaeba alkanexedens	361111	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Bacteriovorax stolpii	960	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Prevotella melaninogenica	28132	S	22	0.00148	1	0.00005	1	0.00005	1	0.00006	0	0.00000	1	0.00008	0	0.00000	2	0.00011	0	0.00000	4	0.00028	2	0.00013
Prevotella sp. E9-3	2913621	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Prevotella sp. E15-22	2937774	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00005	0	0.00000	2	0.00020	0	0.00000	1	0.00007
Prevotella intermedia	28131	S	3	0.00020	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	12	0.00065	0	0.00000	0	0.00000	0	0.00000
Prevotella nigrescens	28133	S	3	0.00020	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00005	0	0.00000	0	0.00000	0	0.00000
Prevotella veroralis	28137	S	2	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000
Prevotella ruminicola	839	S	2	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00005	0	0.00000	0	0.00000	0	0.00000
Prevotella multiformis	282402	S	2	0.00013	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	2	0.00011	0	0.00000	0	0.00000	0	0.00000
Prevotella herbatica	2801997	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	1	0.00010	0	0.00000	0	0.00000
Prevotella jejuni	1177574	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	1	0.00006	0	0.00000	0	0.00000	7	0.00038	0	0.00000	0	0.00000	1	0.00007
Prevotella bryantii	77095	S	1	0.00007	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	0	0.00000	20	0.00109	2	0.00020	1	0.00007	1	0.00007
