ERR2270938_all	ERR2270939_all	ERR2270940_all	ERR2270941_all	ERR2270960_all	ERR2270961_all	ERR2270962_all	ERR2271042_all	ERR2271043_all	ERR2271236_all	ERR2271237_all	lvl_type	name
2	0	0	0	0	0	0	0	0	0	0	S1	Cytobacillus oceanisediminis 2691
1	0	0	0	1	0	0	0	1	0	0	S	Cytobacillus kochii
0	0	0	0	1	0	0	0	0	1	0	G1	unclassified Cytobacillus
0	0	0	0	1	0	0	0	0	1	0	S	Cytobacillus sp. CY-G
1	0	1	0	0	0	0	0	0	0	0	S	Cytobacillus ciccensis
1	0	0	0	0	0	1	0	0	0	0	S	Cytobacillus gottheilii
1	1	1	0	2	3	0	0	3	3	0	G	Niallia
0	0	1	0	2	3	0	0	2	3	0	S	Niallia circulans
1	1	0	0	0	0	0	0	1	0	0	G1	unclassified Niallia
1	1	0	0	0	0	0	0	1	0	0	S	Niallia sp. Man26
1	0	0	8	0	0	1	0	2	0	0	G	Oceanobacillus
0	0	0	8	0	0	0	0	2	0	0	S	Oceanobacillus zhaokaii
1	0	0	0	0	0	1	0	0	0	0	S	Oceanobacillus kimchii
1	0	0	0	0	0	1	0	0	0	0	S1	Oceanobacillus kimchii X50
1	0	1	0	2	0	2	0	3	1	1	G	Halobacillus
1	0	0	0	2	0	0	0	1	0	1	S	Halobacillus mangrovi
0	0	0	0	0	0	2	0	1	0	0	S	Halobacillus halophilus
0	0	1	0	0	0	0	0	1	0	0	G1	unclassified Halobacillus
0	0	0	0	0	0	0	0	1	0	0	S	Halobacillus sp. SSBR10-3
0	0	1	0	0	0	0	0	0	0	0	S	Halobacillus sp. SSHM10-5
0	0	0	0	0	0	0	0	0	1	0	S	Halobacillus litoralis
0	0	2	1	0	2	0	0	1	0	3	G	Alkalihalobacillus
0	0	1	1	0	1	0	0	0	0	0	S	Alkalihalobacillus krulwichiae
0	0	1	0	0	1	0	0	1	0	0	S	Alkalihalobacillus clausii
0	0	0	0	0	0	0	0	0	0	2	S	Alkalihalobacillus lehensis
0	0	0	0	0	0	0	0	0	0	2	S1	Alkalihalobacillus lehensis G1
0	0	0	0	0	0	0	0	0	0	1	S	Alkalihalobacillus miscanthi
1	0	2	0	1	0	0	0	3	0	1	G	Sutcliffiella
0	0	2	0	0	0	0	0	2	0	0	S	Sutcliffiella horikoshii
1	0	0	0	1	0	0	0	1	0	1	S	Sutcliffiella cohnii
1	1	0	1	0	1	2	0	1	1	0	G	Salicibibacter
1	0	0	1	0	1	1	0	0	0	0	S	Salicibibacter cibarius
0	1	0	0	0	0	0	0	0	1	0	S	Salicibibacter cibi
0	0	0	0	0	0	0	0	1	0	0	S	Salicibibacter halophilus
3	0	1	0	1	1	0	0	0	1	1	G	Mesobacillus
1	0	0	0	1	1	0	0	0	0	0	S	Mesobacillus foraminis
1	0	0	0	0	0	0	0	0	1	1	S	Mesobacillus jeotgali
1	0	1	0	0	0	0	0	0	0	0	G1	unclassified Mesobacillus
1	0	1	0	0	0	0	0	0	0	0	S	Mesobacillus sp. S13
0	2	0	1	1	0	0	0	3	0	0	G	Neobacillus
0	2	0	1	1	0	0	0	0	0	0	S	Neobacillus mesonae
0	0	0	0	0	0	0	0	3	0	0	S	Neobacillus drentensis
2	0	0	0	0	0	1	0	1	0	3	G	Geobacillus
0	0	0	0	0	0	0	0	0	0	3	S	Geobacillus subterraneus
0	0	0	0	0	0	0	0	1	0	0	G1	Geobacillus thermoleovorans group
0	0	0	0	0	0	0	0	1	0	0	S	Geobacillus thermocatenulatus
0	0	0	0	0	0	1	0	0	0	0	S	Geobacillus thermodenitrificans
0	0	1	0	2	0	0	1	0	0	2	G	Caldibacillus
0	0	1	0	2	0	0	1	0	0	2	S	Caldibacillus thermoamylovorans
1	0	1	1	0	1	1	0	1	0	0	G	Rossellomorea
1	0	1	0	0	0	1	0	0	0	0	S	Rossellomorea marisflavi
0	0	0	1	0	1	0	0	0	0	0	S	Rossellomorea vietnamensis
2	0	1	0	1	0	1	1	0	0	0	G	Gracilibacillus
1	0	1	0	0	0	1	0	0	0	0	S	Gracilibacillus salitolerans
1	0	0	0	1	0	0	1	0	0	0	G1	unclassified Gracilibacillus
0	0	0	0	1	0	0	1	0	0	0	S	Gracilibacillus sp. SSPM10-3
1	0	0	0	0	0	0	0	0	0	0	S	Gracilibacillus sp. SSWR10-1
2	0	1	0	0	1	0	0	0	1	1	G	Peribacillus
1	0	1	0	0	0	0	0	0	1	0	S	Peribacillus asahii
1	0	0	0	0	1	0	0	0	0	0	S	Peribacillus psychrosaccharolyticus
0	0	0	0	0	0	0	0	0	0	1	S	Peribacillus butanolivorans
0	0	1	0	1	2	1	0	0	0	0	G	Evansella
0	0	1	0	1	2	1	0	0	0	0	S	Evansella cellulosilytica
0	0	1	0	1	2	1	0	0	0	0	S1	Evansella cellulosilytica DSM 2522
1	0	0	0	4	0	0	0	0	0	0	G	Heyndrickxia
0	0	0	0	4	0	0	0	0	0	0	S	Heyndrickxia oleronia
1	0	0	0	0	0	0	0	0	0	0	S	Heyndrickxia vini
2	0	0	1	0	1	0	0	0	1	0	G	Parageobacillus
0	0	0	1	0	1	0	0	0	1	0	S	Parageobacillus toebii
1	0	0	0	0	0	0	0	0	0	0	G1	unclassified Parageobacillus
1	0	0	0	0	0	0	0	0	0	0	S	Parageobacillus sp. KH3-4
0	0	0	0	0	0	0	0	2	1	1	G	Gottfriedia
0	0	0	0	0	0	0	0	2	1	1	S	Gottfriedia acidiceleris
0	1	0	0	0	0	0	1	1	0	1	G	Radiobacillus
0	0	0	0	0	0	0	0	1	0	1	S	Radiobacillus deserti
0	1	0	0	0	0	0	1	0	0	0	G1	unclassified Radiobacillus
0	1	0	0	0	0	0	1	0	0	0	S	Radiobacillus sp. 80
0	0	0	0	0	1	0	0	1	1	0	G	Pradoshia
0	0	0	0	0	1	0	0	1	1	0	G1	unclassified Pradoshia
0	0	0	0	0	1	0	0	1	1	0	S	Pradoshia sp. D12
0	0	0	0	1	0	0	0	1	0	1	G	Mangrovibacillus
0	0	0	0	1	0	0	0	1	0	1	S	Mangrovibacillus cuniculi
0	0	0	0	1	1	0	0	0	1	0	G	Lederbergia
0	0	0	0	1	1	0	0	0	1	0	S	Lederbergia lenta
0	0	0	1	0	1	0	0	1	0	0	G	Psychrobacillus
0	0	0	1	0	1	0	0	0	0	0	G1	unclassified Psychrobacillus
0	0	0	0	0	1	0	0	0	0	0	S	Psychrobacillus sp. AK 1817
0	0	0	1	0	0	0	0	0	0	0	S	Psychrobacillus sp. INOP01
0	0	0	0	0	0	0	0	1	0	0	S	Psychrobacillus glaciei
0	0	0	1	1	0	0	0	0	1	0	G	Pontibacillus
0	0	0	1	1	0	0	0	0	1	0	G1	unclassified Pontibacillus
0	0	0	1	1	0	0	0	0	1	0	S	Pontibacillus sp. ALD_SL1
1	0	1	0	0	0	0	0	0	1	0	G	Terribacillus
1	0	1	0	0	0	0	0	0	1	0	S	Terribacillus goriensis
0	0	0	0	0	1	0	0	0	1	0	G	Amphibacillus
0	0	0	0	0	1	0	0	0	1	0	S	Amphibacillus xylanus
0	0	0	0	0	1	0	0	0	1	0	S1	Amphibacillus xylanus NBRC 15112
0	0	0	0	1	1	0	0	0	0	0	G	Lentibacillus
0	0	0	0	0	1	0	0	0	0	0	G1	unclassified Lentibacillus
0	0	0	0	0	1	0	0	0	0	0	S	Lentibacillus sp. CBA3610
0	0	0	0	1	0	0	0	0	0	0	S	Lentibacillus amyloliquefaciens
1	0	0	0	0	0	0	0	1	0	0	G	Aeribacillus
1	0	0	0	0	0	0	0	1	0	0	S	Aeribacillus pallidus
0	0	0	0	0	0	0	0	0	1	0	G	Alkalihalophilus
0	0	0	0	0	0	0	0	0	1	0	S	Alkalihalophilus pseudofirmus
0	0	0	0	0	0	0	0	0	1	0	S1	Alkalihalophilus pseudofirmus OF4
0	0	0	0	0	0	1	0	0	0	0	G	Caldalkalibacillus
0	0	0	0	0	0	1	0	0	0	0	S	Caldalkalibacillus thermarum
0	0	0	0	0	0	1	0	0	0	0	S1	Caldalkalibacillus thermarum TA2.A1
0	0	0	0	0	1	0	0	0	0	0	G	Paraliobacillus
0	0	0	0	0	1	0	0	0	0	0	S	Paraliobacillus zengyii
0	0	0	0	0	1	0	0	0	0	0	G	Salimicrobium
0	0	0	0	0	1	0	0	0	0	0	S	Salimicrobium jeotgali
0	0	0	1	0	0	0	0	0	0	0	G	Fictibacillus
0	0	0	1	0	0	0	0	0	0	0	S	Fictibacillus arsenicus
1	0	0	0	0	0	0	0	0	0	0	G	Weizmannia
1	0	0	0	0	0	0	0	0	0	0	S	Weizmannia coagulans
1	0	0	0	0	0	0	0	0	0	0	G	Sediminibacillus
1	0	0	0	0	0	0	0	0	0	0	G1	unclassified Sediminibacillus
1	0	0	0	0	0	0	0	0	0	0	S	Sediminibacillus sp. DP4-553-S
32	8	27	23	13	9	17	9	32	55	29	F	Paenibacillaceae
30	6	21	23	9	7	16	7	22	49	27	G	Paenibacillus
5	2	5	10	4	2	7	2	4	13	11	G1	unclassified Paenibacillus
0	1	0	0	0	0	1	0	1	0	2	S	Paenibacillus sp. IHBB 10380
0	0	0	0	0	0	2	0	0	1	1	S	Paenibacillus sp. DCT19
0	0	0	1	0	1	0	0	1	1	0	S	Paenibacillus sp. FSL H7-0357
0	0	1	0	0	0	0	0	1	1	1	S	Paenibacillus sp. PAMC21692
0	0	1	0	1	0	0	0	1	0	1	S	Paenibacillus sp. HWE-109
1	0	1	1	1	0	0	0	0	0	0	S	Paenibacillus sp. 19GGS1-52
2	0	0	1	0	0	1	0	0	0	0	S	Paenibacillus sp. IHB B 3084
0	0	0	0	0	0	0	0	0	1	2	S	Paenibacillus sp. FSL H7-0737
0	0	0	0	0	0	0	1	0	2	0	S	Paenibacillus sp. BIHB4019
0	0	1	1	0	0	0	0	0	0	1	S	Paenibacillus sp. JNUCC-31
0	1	0	0	0	0	0	0	0	2	0	S	Paenibacillus sp. FSL R7-0331
0	0	0	0	0	0	0	0	0	2	0	S	Paenibacillus sp. sptzw28
0	0	0	0	0	0	0	1	0	1	0	S	Paenibacillus sp. FSL R5-0912
0	0	0	0	1	0	0	0	0	1	0	S	Paenibacillus sp. B01
0	0	0	1	0	0	0	0	0	0	1	S	Paenibacillus sp. FSL R7-0273
0	0	0	1	0	1	0	0	0	0	0	S	Paenibacillus sp. JZ16
0	0	0	1	0	0	1	0	0	0	0	S	Paenibacillus sp. N3/727
1	0	0	0	0	0	0	0	0	0	1	S	Paenibacillus sp. FSL P4-0081
1	0	0	0	0	0	0	0	0	0	1	S	Paenibacillus sp. R14(2021)
0	0	0	0	0	0	0	0	0	1	0	S	Paenibacillus sp. RUD330
0	0	0	0	1	0	0	0	0	0	0	S	Paenibacillus sp. Cedars
0	0	0	1	0	0	0	0	0	0	0	S	Paenibacillus sp. YPD9-1
0	0	0	1	0	0	0	0	0	0	0	S	Paenibacillus sp. CAA11
0	0	0	1	0	0	0	0	0	0	0	S	Paenibacillus sp. URB8-2
0	0	1	0	0	0	0	0	0	0	0	S	Paenibacillus sp. 32O-W
0	0	0	0	1	0	0	0	1	3	1	S	Paenibacillus durus
0	0	0	0	0	0	0	0	1	1	0	S1	Paenibacillus durus ATCC 35681
0	0	1	1	1	0	0	0	0	2	1	S	Paenibacillus macerans
2	0	0	2	0	1	0	1	0	0	0	S	Paenibacillus naphthalenovorans
0	0	1	0	0	0	0	0	2	2	0	S	Paenibacillus guangzhouensis
0	0	2	0	0	1	1	0	0	0	1	S	Paenibacillus psychroresistens
1	0	0	0	0	0	0	0	0	2	2	S	Paenibacillus mucilaginosus
0	0	0	0	0	0	0	0	0	0	1	S1	Paenibacillus mucilaginosus 3016
0	0	0	0	0	0	0	0	0	0	1	S1	Paenibacillus mucilaginosus KNP414
1	0	0	0	0	1	0	0	2	0	1	S	Paenibacillus protaetiae
0	0	1	0	0	0	1	0	0	2	0	S	Paenibacillus odorifer
2	0	0	1	0	0	0	0	0	0	1	S	Paenibacillus azoreducens
0	0	0	0	0	0	0	0	0	3	0	S	Paenibacillus borealis
0	0	0	0	0	0	0	0	2	0	1	S	Paenibacillus sabinae
0	0	0	0	0	0	0	0	2	0	1	S1	Paenibacillus sabinae T27
0	0	0	0	0	0	0	1	0	2	0	G1	Paenibacillus sonchi group
0	0	0	0	0	0	0	0	0	1	0	S	Paenibacillus riograndensis
0	0	0	0	0	0	0	0	0	1	0	S1	Paenibacillus riograndensis SBR5
0	0	0	0	0	0	0	1	0	0	0	S	Paenibacillus sonchi
0	0	0	0	0	0	0	1	1	1	0	S	Paenibacillus rhizovicinus
0	0	0	0	0	0	1	0	2	0	0	S	Paenibacillus lutimineralis
0	0	0	0	1	0	1	0	1	0	0	S	Paenibacillus glucanolyticus
0	0	0	1	0	0	0	0	1	0	1	S	Paenibacillus stellifer
0	0	2	0	0	0	1	0	0	0	0	S	Paenibacillus dendritiformis
0	1	1	0	0	0	0	0	0	0	1	S	Paenibacillus polymyxa
1	0	0	0	0	0	0	0	0	1	1	S	Paenibacillus alvei
1	0	0	0	0	0	0	0	1	1	0	S	Paenibacillus donghaensis
1	0	1	0	0	0	0	0	0	1	0	S	Paenibacillus bovis
2	0	0	0	0	0	0	0	0	0	1	S	Paenibacillus lentus
2	0	1	0	0	0	0	0	0	0	0	S	Paenibacillus pabuli
0	0	0	0	0	0	0	0	0	2	0	S	Paenibacillus algicola
0	0	0	0	0	0	0	0	0	2	0	S	Paenibacillus yonginensis
0	0	0	0	0	0	0	0	2	0	0	S	Paenibacillus lautus
0	0	0	0	0	0	0	1	0	1	0	S	Paenibacillus sophorae
0	0	0	0	0	1	0	0	1	0	0	S	Paenibacillus xylanexedens
0	0	1	0	0	0	0	0	0	1	0	S	Paenibacillus xylanilyticus
0	1	1	0	0	0	0	0	0	0	0	S	Paenibacillus swuensis
1	0	0	0	0	0	0	0	0	1	0	S	Paenibacillus lycopersici
1	0	0	1	0	0	0	0	0	0	0	S	Paenibacillus chitinolyticus
1	0	0	0	0	0	0	0	0	1	0	S	Paenibacillus baekrokdamisoli
2	0	0	0	0	0	0	0	0	0	0	S	Paenibacillus albicereus
0	0	0	0	0	0	0	0	0	0	1	S	Paenibacillus cellulositrophicus
0	0	0	0	0	0	0	0	0	1	0	S	Paenibacillus kribbensis
0	0	0	0	0	0	0	0	0	1	0	S	Paenibacillus graminis
0	0	0	0	0	0	0	0	0	1	0	S	Paenibacillus thiaminolyticus
0	0	0	0	0	0	0	0	1	0	0	S	Paenibacillus jilunlii
0	0	0	0	0	0	0	0	1	0	0	S	Paenibacillus tianjinensis
0	0	0	0	0	0	1	0	0	0	0	S	Paenibacillus beijingensis
0	0	0	0	0	1	0	0	0	0	0	S	Paenibacillus tritici
0	0	0	1	0	0	0	0	0	0	0	S	Paenibacillus ihbetae
0	0	0	1	0	0	0	0	0	0	0	S	Paenibacillus agaridevorans
0	0	1	0	0	0	0	0	0	0	0	S	Paenibacillus barcinonensis
0	0	1	0	0	0	0	0	0	0	0	S	Paenibacillus cellulosilyticus
1	0	0	0	0	0	0	0	0	0	0	S	Paenibacillus peoriae
1	0	0	0	0	0	0	0	0	0	0	S	Paenibacillus antarcticus
1	0	6	0	3	2	1	0	3	3	1	G	Brevibacillus
0	0	6	0	0	1	0	0	2	0	1	S	Brevibacillus laterosporus
0	0	0	0	0	0	0	0	1	0	0	S1	Brevibacillus laterosporus DSM 25
0	0	1	0	0	0	0	0	0	0	0	S1	Brevibacillus laterosporus LMG 15441
0	0	0	0	1	1	1	0	0	1	0	S	Brevibacillus brevis
0	0	0	0	1	0	0	0	0	1	0	G1	unclassified Brevibacillus
0	0	0	0	1	0	0	0	0	1	0	S	Brevibacillus sp. 7WMA2
0	0	0	0	0	0	0	0	1	0	0	S	Brevibacillus marinus
0	0	0	0	1	0	0	0	0	0	0	S	Brevibacillus choshinensis
1	0	0	0	0	0	0	0	0	0	0	S	Brevibacillus composti
1	1	0	0	1	0	0	0	1	2	0	G	Cohnella
1	1	0	0	0	0	0	0	1	0	0	G1	unclassified Cohnella
1	1	0	0	0	0	0	0	1	0	0	S	Cohnella sp. LGH
0	0	0	0	0	0	0	0	0	1	0	S	Cohnella cholangitidis
0	0	0	0	1	0	0	0	0	0	0	S	Cohnella candidum
0	0	0	0	0	0	0	2	2	1	0	G	Saccharibacillus
0	0	0	0	0	0	0	2	2	1	0	S	Saccharibacillus brassicae
0	0	0	0	0	0	0	0	1	0	0	F1	Aneurinibacillus group
0	0	0	0	0	0	0	0	1	0	0	G	Aneurinibacillus
13	4	22	7	18	20	8	2	19	10	11	F	Staphylococcaceae
9	3	18	7	12	15	6	1	15	7	8	G	Staphylococcus
1	1	8	5	3	1	0	1	1	2	1	S	Staphylococcus cohnii
0	2	2	0	0	3	0	0	0	0	2	S	Staphylococcus epidermidis
1	0	0	0	2	2	1	0	0	1	0	S	Staphylococcus aureus
0	0	0	0	0	2	1	0	2	0	0	S	Staphylococcus simiae
0	0	0	0	0	0	1	0	1	1	1	G1	unclassified Staphylococcus
0	0	0	0	0	0	0	0	0	1	1	S	Staphylococcus sp. MI 10-1553
0	0	0	0	0	0	0	0	1	0	0	S	Staphylococcus sp. CCM 9025
0	0	0	0	0	0	1	0	0	0	0	S	Staphylococcus sp. 17KM0847
1	0	1	0	0	0	0	0	2	0	0	S	Staphylococcus haemolyticus
0	0	1	0	1	0	0	0	0	0	1	S	Staphylococcus nepalensis
0	0	1	0	0	1	0	0	0	0	1	S	Staphylococcus agnetis
1	0	0	0	0	1	0	0	0	1	0	S	Staphylococcus debuckii
0	0	0	0	0	0	0	0	2	0	0	S	Staphylococcus carnosus
0	0	0	0	0	0	1	0	0	0	1	S	Staphylococcus hominis
0	0	0	0	0	0	1	0	1	0	0	S	Staphylococcus capitis
0	0	0	0	0	1	0	0	1	0	0	S	Staphylococcus saprophyticus
0	0	0	0	1	0	1	0	0	0	0	S	Staphylococcus equorum
0	0	0	1	0	0	0	0	1	0	0	S	Staphylococcus condimenti
0	0	1	0	1	0	0	0	0	0	0	S	Staphylococcus roterodami
0	0	2	0	0	0	0	0	0	0	0	G1	Staphylococcus intermedius group
0	0	2	0	0	0	0	0	0	0	0	S	Staphylococcus delphini
1	0	0	0	0	0	0	0	1	0	0	S	Staphylococcus schleiferi
1	0	0	0	0	0	0	0	1	0	0	S	Staphylococcus muscae
1	0	0	1	0	0	0	0	0	0	0	S	Staphylococcus hyicus
0	0	0	0	0	0	0	0	0	0	1	S	Staphylococcus chromogenes
0	0	0	0	0	0	0	0	0	1	0	S	Staphylococcus piscifermentans
0	0	0	0	0	0	0	0	1	0	0	S	Staphylococcus xylosus
0	0	0	0	0	0	0	0	1	0	0	S	Staphylococcus auricularis
0	0	0	0	0	1	0	0	0	0	0	S	Staphylococcus pasteuri
0	0	0	0	1	0	0	0	0	0	0	S	Staphylococcus pseudoxylosus
2	0	2	0	4	1	0	0	1	3	2	G	Macrococcus
2	0	0	0	1	1	0	0	0	1	2	S	Macrococcus brunensis
0	0	1	0	2	0	0	0	0	0	0	S	Macrococcus canis
0	0	1	0	0	0	0	0	0	0	0	S	Macrococcus bohemicus
1	0	1	0	0	4	0	1	1	0	0	G	Mammaliicoccus
0	0	1	0	0	3	0	0	0	0	0	S	Mammaliicoccus sciuri
1	0	0	0	0	1	0	0	1	0	0	S	Mammaliicoccus vitulinus
0	0	0	0	0	0	0	1	0	0	0	S	Mammaliicoccus stepanovicii
0	0	0	0	1	0	0	0	2	0	0	G	Jeotgalicoccus
0	0	0	0	1	0	0	0	1	0	0	S	Jeotgalicoccus saudimassiliensis
0	0	0	0	0	0	0	0	1	0	0	G1	unclassified Jeotgalicoccus
0	0	0	0	0	0	0	0	1	0	0	S	Jeotgalicoccus sp. ATCC 8456
0	1	1	0	1	0	0	0	0	0	0	G	Nosocomiicoccus
0	1	1	0	1	0	0	0	0	0	0	S	Nosocomiicoccus ampullae
0	0	0	0	0	0	1	0	0	0	1	G	Salinicoccus
0	0	0	0	0	0	1	0	0	0	1	S	Salinicoccus halodurans
1	0	0	0	0	0	0	0	0	0	0	G	Abyssicoccus
1	0	0	0	0	0	0	0	0	0	0	S	Abyssicoccus albus
6	5	3	4	36	13	4	2	4	4	27	O1	Bacillales incertae sedis
6	5	3	1	36	13	4	2	4	4	26	O2	Bacillales Family XI. Incertae Sedis
6	5	3	1	36	13	4	2	4	4	26	G	Gemella
5	1	2	0	20	4	2	1	3	3	1	S	Gemella sanguinis
0	1	0	0	1	0	0	1	0	1	24	S	Gemella morbillorum
1	3	1	0	7	9	2	0	1	0	0	S	Gemella haemolysans
0	0	0	1	8	0	0	0	0	0	1	G1	unclassified Gemella
0	0	0	0	4	0	0	0	0	0	0	S	Gemella sp. oral taxon 928
0	0	0	0	2	0	0	0	0	0	0	S	Gemella sp. ND 6198
0	0	0	3	0	0	0	0	0	0	1	O2	Bacillales Family XII. Incertae Sedis
0	0	0	3	0	0	0	0	0	0	1	G	Exiguobacterium
0	0	0	1	0	0	0	0	0	0	1	S	Exiguobacterium alkaliphilum
6	1	4	8	7	4	0	2	15	2	6	F	Planococcaceae
4	0	2	3	5	3	0	1	3	1	2	G	Planococcus
0	0	0	1	3	0	0	0	0	0	0	S	Planococcus maritimus
0	0	0	0	0	1	0	0	1	0	1	G1	unclassified Planococcus (in: Bacteria)
0	0	0	0	0	0	0	0	1	0	1	S	Planococcus sp. MB-3u-03
0	0	0	0	0	1	0	0	0	0	0	S	Planococcus sp. PAMC 21323
1	0	1	1	0	0	0	0	0	0	0	S	Planococcus lenghuensis
1	0	0	0	0	2	0	0	0	0	0	S	Planococcus donghaensis
0	0	0	0	2	0	0	0	0	0	0	S	Planococcus antarcticus
0	0	0	0	2	0	0	0	0	0	0	S1	Planococcus antarcticus DSM 14505
1	0	0	1	0	0	0	0	0	0	0	S	Planococcus faecalis
1	0	0	0	0	0	0	0	1	0	0	S	Planococcus massiliensis
0	0	0	0	0	0	0	0	1	0	0	S	Planococcus versutus
0	0	0	0	0	0	0	1	0	0	0	S	Planococcus halotolerans
0	0	1	3	0	0	0	1	6	0	2	G	Sporosarcina
0	0	0	0	0	0	0	1	1	0	2	S	Sporosarcina ureae
0	0	0	0	0	0	0	0	3	0	0	G1	unclassified Sporosarcina
0	0	0	0	0	0	0	0	2	0	0	S	Sporosarcina sp. Te-1
0	0	0	0	0	0	0	0	1	0	0	S	Sporosarcina sp. Marseille-Q4063
0	0	0	1	0	0	0	0	1	0	0	S	Sporosarcina pasteurii
0	0	1	1	0	0	0	0	0	0	0	S	Sporosarcina psychrophila
0	0	1	0	1	0	0	0	2	1	0	G	Ureibacillus
0	0	1	0	1	0	0	0	1	0	0	S	Ureibacillus thermosphaericus
0	0	0	0	0	0	0	0	1	1	0	S	Ureibacillus thermophilus
0	0	0	0	0	0	0	0	2	0	1	G	Viridibacillus
0	0	0	0	0	0	0	0	2	0	1	G1	unclassified Viridibacillus
0	0	0	0	0	0	0	0	2	0	1	S	Viridibacillus sp. JNUCC-6
0	0	0	1	0	1	0	0	1	0	0	G	Rummeliibacillus
0	0	0	1	0	1	0	0	1	0	0	S	Rummeliibacillus stabekisii
0	1	0	0	1	0	0	0	0	0	0	G	Paenisporosarcina
0	0	0	0	1	0	0	0	0	0	0	S	Paenisporosarcina cavernae
0	1	0	0	0	0	0	0	0	0	0	S	Paenisporosarcina antarctica
0	0	0	0	0	0	0	0	0	0	1	G	Solibacillus
0	0	0	0	0	0	0	0	0	0	1	S	Solibacillus silvestris
0	0	0	0	0	0	0	0	0	0	1	S1	Solibacillus silvestris StLB046
1	0	0	0	0	0	0	0	0	0	0	G	Kurthia
1	0	0	0	0	0	0	0	0	0	0	S	Kurthia zopfii
4	0	2	3	10	2	0	0	7	2	3	F	Listeriaceae
4	0	2	3	10	2	0	0	6	1	3	G	Listeria
0	0	0	0	4	1	0	0	4	0	1	S	Listeria monocytogenes
2	0	0	2	0	0	0	0	0	0	0	S	Listeria weihenstephanensis
0	0	1	0	0	0	0	0	1	0	1	S	Listeria grayi
0	0	0	0	1	0	0	0	1	0	0	S	Listeria innocua
0	0	1	0	1	0	0	0	0	0	0	S	Listeria ivanovii
0	0	0	0	1	0	0	0	0	0	0	S1	Listeria ivanovii subsp. londoniensis
1	0	0	0	0	0	0	0	0	1	0	S	Listeria marthii
0	0	0	0	0	0	0	0	0	0	1	S	Listeria welshimeri
0	0	0	0	1	0	0	0	0	0	0	S	Listeria seeligeri
0	0	0	0	0	0	0	0	1	1	0	G	Brochothrix
0	0	0	0	0	0	0	0	1	1	0	S	Brochothrix thermosphacta
1	0	2	2	0	1	1	2	2	2	0	F	Alicyclobacillaceae
0	0	1	1	0	0	0	2	0	2	0	G	Tumebacillus
0	0	1	1	0	0	0	2	0	1	0	S	Tumebacillus algifaecis
0	0	0	0	0	0	0	0	0	1	0	S	Tumebacillus avium
1	0	1	0	0	0	0	0	1	0	0	G	Kyrpidia
0	0	0	0	0	0	0	0	1	0	0	S	Kyrpidia spormannii
0	0	1	0	0	0	0	0	0	0	0	S	Kyrpidia tusciae
0	0	1	0	0	0	0	0	0	0	0	S1	Kyrpidia tusciae DSM 2912
0	0	0	0	0	1	0	0	1	0	0	G	Alicyclobacillus
0	0	0	0	0	1	0	0	1	0	0	G1	unclassified Alicyclobacillus
0	0	0	0	0	0	0	0	1	0	0	S	Alicyclobacillus sp. SO9
0	0	0	0	0	1	0	0	0	0	0	S	Alicyclobacillus sp. TC
0	0	0	1	0	0	1	0	0	0	0	G	Effusibacillus
0	0	0	1	0	0	1	0	0	0	0	S	Effusibacillus dendaii
2	0	1	0	2	0	0	1	2	1	1	F	Thermoactinomycetaceae
1	0	0	0	2	0	0	0	1	0	1	G	Kroppenstedtia
1	0	0	0	2	0	0	0	0	0	0	S	Kroppenstedtia pulmonis
0	0	0	0	0	0	0	0	1	0	1	S	Kroppenstedtia eburnea
0	0	0	0	0	0	0	1	1	1	0	G	Staphylospora
0	0	0	0	0	0	0	1	1	1	0	S	Staphylospora marina
0	0	1	0	0	0	0	0	0	0	0	G	Laceyella
0	0	1	0	0	0	0	0	0	0	0	S	Laceyella sacchari
1	0	0	0	0	0	0	0	0	0	0	G	Novibacillus
1	0	0	0	0	0	0	0	0	0	0	S	Novibacillus thermophilus
1	0	0	0	0	0	0	0	0	0	1	F	Sporolactobacillaceae
1	0	0	0	0	0	0	0	0	0	1	G	Sporolactobacillus
1	0	0	0	0	0	0	0	0	0	1	S	Sporolactobacillus terrae
383	131	5340	149	579	152	675	37	63	447	66	C	Erysipelotrichia
383	131	5340	149	579	152	675	37	63	447	66	O	Erysipelotrichales
294	131	5337	142	526	10	672	33	59	430	65	F	Erysipelotrichaceae
260	25	5293	15	520	7	636	15	17	22	23	G	Erysipelatoclostridium
124	10	5195	3	515	6	357	2	4	5	5	S	Erysipelatoclostridium ramosum
0	0	8	0	1	0	1	0	0	0	0	S1	Erysipelatoclostridium ramosum DSM 1402
136	15	98	11	5	1	279	13	13	17	18	S	[Clostridium] innocuum
8	3	11	68	2	1	4	6	14	368	11	G	Faecalibacillus
8	3	11	68	2	1	4	6	14	368	11	S	Faecalibacillus intestinalis
16	75	6	27	0	0	13	4	11	14	18	G	Faecalitalea
16	75	6	27	0	0	13	4	11	14	18	S	Faecalitalea cylindroides
16	75	6	27	0	0	13	4	11	14	18	S1	Faecalitalea cylindroides T2-87
4	21	3	26	0	0	6	4	1	4	3	G	Amedibacterium
4	21	3	26	0	0	6	4	1	4	3	S	Amedibacterium intestinale
4	5	19	5	1	0	10	1	7	8	4	G	Longicatena
4	5	19	5	1	0	10	1	7	8	4	S	Longicatena caecimuris
0	0	1	0	1	1	1	2	3	1	2	G	Erysipelothrix
