ERR2270938	ERR2270939	ERR2270940	ERR2270941	ERR2270960	ERR2270961	ERR2270962	ERR2271042	ERR2271043	ERR2271236	ERR2271237	lvl_type	name	taxonomy
3	0	1	0	1	0	0	0	55	3	6	s	Dialister pneumosintes	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;s__Dialister pneumosintes
1	0	0	30	0	0	0	0	5	0	1	s	Dialister massiliensis	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;s__Dialister massiliensis
0	0	0	29	0	0	0	0	5	0	1	s	Dialister hominis	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Dialister;s__Dialister hominis
2	0	0	2	1	0	0	1	14	3	4	g	Megasphaera	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera
0	0	0	1	1	0	0	0	7	2	2	s	Megasphaera elsdenii	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera elsdenii
0	0	0	0	0	0	0	0	1	1	0	s1	Megasphaera elsdenii DSM 20460	na;na;na;na;na;na;na
1	0	0	1	0	0	0	0	2	1	2	s	Megasphaera stantonii	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera stantonii
1	0	0	0	0	0	0	1	4	0	0	s	Megasphaera massiliensis	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Megasphaera;s__Megasphaera massiliensis
13	3	5	19	3	3	3	2	14	7	5	o	Selenomonadales	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales
13	3	3	19	3	2	1	1	10	7	5	f	Selenomonadaceae	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae
4	1	1	16	0	2	1	0	2	0	3	g	Megamonas	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas
2	0	0	16	0	2	1	0	2	0	2	s	Megamonas funiformis	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas funiformis
2	1	1	0	0	0	0	0	0	0	1	s	Megamonas hypermegale	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Megamonas;s__Megamonas hypermegale
7	1	2	3	2	0	0	1	6	6	2	g	Selenomonas	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas
4	0	1	0	0	0	0	0	1	2	1	s	Selenomonas ruminantium	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas ruminantium
4	0	1	0	0	0	0	0	1	2	1	s1	Selenomonas ruminantium subsp. lactilytica	na;na;na;na;na;na;na
4	0	1	0	0	0	0	0	1	2	1	s2	Selenomonas ruminantium subsp. lactilytica TAM6421	na;na;na;na;na;na;na
1	1	1	1	2	0	0	0	1	1	0	s	Selenomonas sputigena	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas sputigena
1	1	1	1	2	0	0	0	1	1	0	s1	Selenomonas sputigena ATCC 35185	na;na;na;na;na;na;na
0	0	0	1	0	0	0	1	1	1	1	s	Selenomonas timonae	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas timonae
1	0	0	1	0	0	0	0	2	1	0	g1	unclassified Selenomonas	na;na;na;na;na;na;na
1	0	0	1	0	0	0	0	0	0	0	s	Selenomonas sp. oral taxon 920	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas sp. oral taxon 920
0	0	0	0	0	0	0	0	0	1	0	s	Selenomonas sp. oral taxon 478	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas sp. oral taxon 478
0	0	0	0	0	0	0	0	1	0	0	s	Selenomonas sp. oral taxon 126	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Selenomonas;s__Selenomonas sp. oral taxon 126
2	1	0	0	1	0	0	0	1	1	0	g	Pectinatus	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Pectinatus
2	1	0	0	1	0	0	0	1	1	0	s	Pectinatus frisingensis	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Selenomonadaceae;g__Pectinatus;s__Pectinatus frisingensis
0	0	2	0	0	1	2	1	4	0	0	f	Sporomusaceae	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Sporomusaceae
0	0	2	0	0	1	2	0	2	0	0	g	Pelosinus	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Sporomusaceae;g__Pelosinus
0	0	0	0	0	1	2	0	2	0	0	g1	unclassified Pelosinus	na;na;na;na;na;na;na
0	0	0	0	0	1	2	0	2	0	0	s	Pelosinus sp. UFO1	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Sporomusaceae;g__Pelosinus;s__Pelosinus sp. UFO1
0	0	2	0	0	0	0	0	0	0	0	s	Pelosinus fermentans	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Sporomusaceae;g__Pelosinus;s__Pelosinus fermentans
0	0	2	0	0	0	0	0	0	0	0	s1	Pelosinus fermentans JBW45	na;na;na;na;na;na;na
0	0	0	0	0	0	0	0	2	0	0	g	Sporomusa	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Sporomusaceae;g__Sporomusa
0	0	0	0	0	0	0	0	2	0	0	s	Sporomusa termitida	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Sporomusaceae;g__Sporomusa;s__Sporomusa termitida
0	0	0	0	0	0	0	1	0	0	0	g	Methylomusa	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Sporomusaceae;g__Methylomusa
0	0	0	0	0	0	0	1	0	0	0	s	Methylomusa anaerophila	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Selenomonadales;f__Sporomusaceae;g__Methylomusa;s__Methylomusa anaerophila
3	1	5	7	0	0	0	21	11	9	5	o	Acidaminococcales	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales
3	1	5	7	0	0	0	21	11	9	5	f	Acidaminococcaceae	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae
2	0	2	7	0	0	0	21	7	8	3	g	Phascolarctobacterium	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium
2	0	1	0	0	0	0	20	5	8	1	g1	unclassified Phascolarctobacterium	na;na;na;na;na;na;na
2	0	1	0	0	0	0	20	5	8	1	s	Phascolarctobacterium sp. Marseille-Q4147	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium sp. Marseille-Q4147
0	0	1	7	0	0	0	1	2	0	2	s	Phascolarctobacterium faecium	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Phascolarctobacterium;s__Phascolarctobacterium faecium
1	1	3	0	0	0	0	0	4	1	2	g	Acidaminococcus	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus
0	1	2	0	0	0	0	0	1	0	2	s	Acidaminococcus fermentans	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus fermentans
0	1	2	0	0	0	0	0	1	0	2	s1	Acidaminococcus fermentans DSM 20731	na;na;na;na;na;na;na
1	0	1	0	0	0	0	0	3	1	0	s	Acidaminococcus intestini	d__Bacteria;p__Firmicutes;c__Negativicutes;o__Acidaminococcales;f__Acidaminococcaceae;g__Acidaminococcus;s__Acidaminococcus intestini
10	4	4	6	114	18	1	5	19	11	21	c	Tissierellia	d__Bacteria;p__Firmicutes;c__Tissierellia
8	4	4	5	111	17	1	5	17	10	21	o	Tissierellales	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales
4	3	4	3	107	8	0	4	13	6	20	f	Peptoniphilaceae	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae
0	0	0	1	73	1	0	0	1	1	1	g	Parvimonas	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Parvimonas
0	0	0	1	73	1	0	0	1	1	1	s	Parvimonas micra	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Parvimonas;s__Parvimonas micra
3	2	1	0	7	2	0	1	1	1	10	g	Anaerococcus	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus
2	1	0	0	2	1	0	0	0	1	1	s	Anaerococcus prevotii	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus prevotii
2	1	0	0	2	1	0	0	0	1	1	s1	Anaerococcus prevotii DSM 20548	na;na;na;na;na;na;na
0	1	1	0	1	1	0	0	0	0	3	s	Anaerococcus vaginalis	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus vaginalis
0	0	0	0	1	0	0	0	0	0	5	s	Anaerococcus obesiensis	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus obesiensis
1	0	0	0	1	0	0	1	0	0	0	s	Anaerococcus mediterraneensis	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Anaerococcus;s__Anaerococcus mediterraneensis
0	1	0	1	13	0	0	2	3	1	2	g	Finegoldia	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Finegoldia
0	1	0	1	13	0	0	2	3	1	2	s	Finegoldia magna	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Finegoldia;s__Finegoldia magna
0	0	0	0	3	0	0	0	3	0	1	s1	Finegoldia magna ATCC 53516	na;na;na;na;na;na;na
1	0	0	0	4	2	0	1	3	2	7	g	Peptoniphilus	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus
1	0	0	0	3	2	0	1	3	0	6	s	Peptoniphilus harei	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus;s__Peptoniphilus harei
0	0	0	0	1	0	0	0	0	2	1	s	Peptoniphilus ivorii	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Peptoniphilus;s__Peptoniphilus ivorii
0	0	1	1	8	0	0	0	1	1	0	g	Murdochiella	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Murdochiella
0	0	1	1	8	0	0	0	1	1	0	s	Murdochiella vaginalis	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Murdochiella;s__Murdochiella vaginalis
0	0	2	0	1	1	0	0	1	0	0	g	Miniphocaeibacter	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Miniphocaeibacter
0	0	2	0	1	1	0	0	1	0	0	s	Miniphocaeibacter halophilus	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Miniphocaeibacter;s__Miniphocaeibacter halophilus
0	0	0	0	0	1	0	0	2	0	0	g	Helcococcus	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Helcococcus
0	0	0	0	0	1	0	0	2	0	0	s	Helcococcus kunzii	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Peptoniphilaceae;g__Helcococcus;s__Helcococcus kunzii
2	1	0	2	3	5	1	0	3	4	1	f	Tissierellaceae	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Tissierellaceae
0	0	0	1	0	3	1	0	1	0	1	g	Keratinibaculum	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Tissierellaceae;g__Keratinibaculum
0	0	0	1	0	3	1	0	1	0	1	s	Keratinibaculum paraultunense	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Tissierellaceae;g__Keratinibaculum;s__Keratinibaculum paraultunense
0	0	0	0	2	1	0	0	0	2	0	g	Tissierella	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Tissierellaceae;g__Tissierella
0	0	0	0	2	1	0	0	0	2	0	g1	unclassified Tissierella	na;na;na;na;na;na;na
0	0	0	0	2	1	0	0	0	2	0	s	Tissierella sp. JN-28	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Tissierellaceae;g__Tissierella;s__Tissierella sp. JN-28
1	0	0	1	1	0	0	0	1	1	0	g	Gudongella	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Tissierellaceae;g__Gudongella
1	0	0	1	1	0	0	0	1	1	0	s	Gudongella oleilytica	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Tissierellaceae;g__Gudongella;s__Gudongella oleilytica
1	1	0	0	0	1	0	0	1	0	0	g	Schnuerera	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Tissierellaceae;g__Schnuerera
1	1	0	0	0	1	0	0	1	0	0	s	Schnuerera ultunensis	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Tissierellaceae;g__Schnuerera;s__Schnuerera ultunensis
1	1	0	0	0	1	0	0	1	0	0	s1	[Clostridium] ultunense Esp	na;na;na;na;na;na;na
2	0	0	0	1	4	0	1	1	0	0	f	Gottschalkiaceae	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Gottschalkiaceae
2	0	0	0	1	4	0	1	1	0	0	g	Gottschalkia	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Gottschalkiaceae;g__Gottschalkia
2	0	0	0	1	4	0	1	1	0	0	s	Gottschalkia acidurici	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Gottschalkiaceae;g__Gottschalkia;s__Gottschalkia acidurici
2	0	0	0	1	4	0	1	1	0	0	s1	Gottschalkia acidurici 9a	na;na;na;na;na;na;na
2	0	0	1	3	1	0	0	2	1	0	c1	Tissierellia incertae sedis	na;na;na;na;na;na;na
1	0	0	0	3	1	0	0	2	0	0	g	Sedimentibacter	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Gottschalkiaceae;g__Sedimentibacter
1	0	0	0	3	1	0	0	2	0	0	g1	unclassified Sedimentibacter	na;na;na;na;na;na;na
1	0	0	0	3	1	0	0	2	0	0	s	Sedimentibacter sp. zth1	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Gottschalkiaceae;g__Sedimentibacter;s__Sedimentibacter sp. zth1
1	0	0	1	0	0	0	0	0	1	0	g	Ezakiella	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Gottschalkiaceae;g__Ezakiella
1	0	0	1	0	0	0	0	0	1	0	s	Ezakiella massiliensis	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Gottschalkiaceae;g__Ezakiella;s__Ezakiella massiliensis
1	0	0	1	1	0	0	0	0	1	0	p1	Firmicutes sensu stricto incertae sedis	na;na;na;na;na;na;na
1	0	0	1	1	0	0	0	0	1	0	g	Ndongobacter	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Gottschalkiaceae;g__Ndongobacter
1	0	0	1	1	0	0	0	0	1	0	s	Ndongobacter massiliensis	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Gottschalkiaceae;g__Ndongobacter;s__Ndongobacter massiliensis
0	0	0	0	0	0	0	0	1	0	0	p1	unclassified Firmicutes sensu stricto	na;na;na;na;na;na;na
0	0	0	0	0	0	0	0	1	0	0	s	endosymbiont 'TC1' of Trimyema compressum	d__Bacteria;p__Firmicutes;c__Tissierellia;o__Tissierellales;f__Gottschalkiaceae;g__Ndongobacter;s__endosymbiont 'TC1' of Trimyema compressum
2571	10420	142	8043	865	205	11959	488	560	4982	365	p	Actinobacteria	d__Bacteria;p__Actinobacteria
2549	10354	30	5276	80	204	11953	435	253	3841	261	c	Actinomycetia	d__Bacteria;p__Actinobacteria;c__Actinomycetia
2411	10298	8	5147	7	19	11878	384	174	3602	147	o	Bifidobacteriales	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales
2411	10298	8	5147	7	19	11878	384	174	3602	147	f	Bifidobacteriaceae	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae
2411	10296	8	5147	6	18	11877	384	174	3602	147	g	Bifidobacterium	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium
2	7	1	29	2	2	8346	4	5	1714	0	s	Bifidobacterium catenulatum	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium catenulatum
2	4	1	22	2	2	7894	4	1	986	0	s1	Bifidobacterium catenulatum subsp. kashiwanohense	na;na;na;na;na;na;na
0	2	0	6	1	0	2888	1	0	231	0	s2	Bifidobacterium catenulatum subsp. kashiwanohense JCM 15439 = DSM 21854	na;na;na;na;na;na;na
1	2	0	8	1	1	1161	0	0	282	0	s2	Bifidobacterium kashiwanohense PV20-2	na;na;na;na;na;na;na
21	8414	1	17	0	2	757	0	0	15	1	s	Bifidobacterium breve	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium breve
0	38	0	0	0	0	8	0	0	0	0	s1	Bifidobacterium breve JCM 7019	na;na;na;na;na;na;na
1	22	0	0	0	0	15	0	0	0	0	s1	Bifidobacterium breve JCM 7017	na;na;na;na;na;na;na
0	24	0	0	0	0	2	0	0	0	0	s1	Bifidobacterium breve 12L	na;na;na;na;na;na;na
1	14	0	0	0	0	5	0	0	4	1	s1	Bifidobacterium breve 689b	na;na;na;na;na;na;na
0	16	0	0	0	0	5	0	0	0	0	s1	Bifidobacterium breve ACS-071-V-Sch8b	na;na;na;na;na;na;na
0	8	0	0	0	0	1	0	0	0	0	s1	Bifidobacterium breve NCFB 2258	na;na;na;na;na;na;na
0	7	0	0	0	0	1	0	0	0	0	s1	Bifidobacterium breve S27	na;na;na;na;na;na;na
2206	603	2	942	1	12	276	272	126	772	136	s	Bifidobacterium longum	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium longum
151	68	0	77	0	1	51	27	12	79	14	s1	Bifidobacterium longum subsp. longum	na;na;na;na;na;na;na
8	0	0	35	0	0	1	2	1	0	0	s2	Bifidobacterium longum subsp. longum GT15	na;na;na;na;na;na;na
24	1	0	1	0	0	8	0	0	2	0	s2	Bifidobacterium longum subsp. longum F8	na;na;na;na;na;na;na
7	0	0	0	0	0	2	1	1	5	0	s2	Bifidobacterium longum subsp. longum KACC 91563	na;na;na;na;na;na;na
0	1	0	4	0	0	0	0	0	0	1	s2	Bifidobacterium longum subsp. longum BBMN68	na;na;na;na;na;na;na
0	0	0	0	0	0	1	0	0	0	0	s2	Bifidobacterium longum subsp. longum JDM301	na;na;na;na;na;na;na
0	0	0	1	0	0	0	0	0	0	0	s2	Bifidobacterium longum subsp. longum EK13	na;na;na;na;na;na;na
1	0	0	0	0	0	0	0	0	0	0	s2	Bifidobacterium longum subsp. longum JCM 1217	na;na;na;na;na;na;na
89	40	0	47	0	1	74	10	3	38	1	s1	Bifidobacterium longum subsp. infantis	na;na;na;na;na;na;na
11	5	0	20	0	0	0	0	0	7	0	s2	Bifidobacterium longum subsp. infantis 157F	na;na;na;na;na;na;na
0	1	0	0	0	0	0	0	0	0	0	s2	Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088	na;na;na;na;na;na;na
5	25	1	12	0	1	12	0	0	7	0	s1	Bifidobacterium longum DJO10A	na;na;na;na;na;na;na
14	5	0	6	0	0	2	0	0	8	0	s1	Bifidobacterium longum NCC2705	na;na;na;na;na;na;na
2	0	0	4	0	0	0	0	0	2	0	s1	Bifidobacterium longum E18	na;na;na;na;na;na;na
4	0	0	0	0	0	2	0	0	0	1	s1	Bifidobacterium longum subsp. suillum	na;na;na;na;na;na;na
5	5	3	3276	0	0	210	0	20	103	0	s	Bifidobacterium adolescentis	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium adolescentis
1	0	0	184	0	0	26	0	0	9	0	s1	Bifidobacterium adolescentis ATCC 15703	na;na;na;na;na;na;na
12	4	0	44	0	1	1522	12	1	456	0	s	Bifidobacterium pseudocatenulatum	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudocatenulatum
2	0	0	0	0	0	238	0	0	54	0	s1	Bifidobacterium pseudocatenulatum DSM 20438 = JCM 1200 = LMG 10505	na;na;na;na;na;na;na
1	3	1	570	2	0	26	81	7	235	1	s	Bifidobacterium bifidum	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium bifidum
0	0	0	17	0	0	0	3	0	7	0	s1	Bifidobacterium bifidum PRL2010	na;na;na;na;na;na;na
0	0	0	12	1	0	0	2	0	8	0	s1	Bifidobacterium bifidum S17	na;na;na;na;na;na;na
0	0	0	1	0	0	0	0	0	0	0	s1	Bifidobacterium bifidum ATCC 29521 = JCM 1255 = DSM 20456	na;na;na;na;na;na;na
0	0	0	1	0	0	0	0	0	0	0	s1	Bifidobacterium bifidum BGN4	na;na;na;na;na;na;na
0	2	0	10	0	0	35	0	0	86	1	s	Bifidobacterium angulatum	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium angulatum
0	0	0	5	0	0	16	0	0	58	0	s1	Bifidobacterium angulatum DSM 20098 = JCM 7096	na;na;na;na;na;na;na
5	3	0	56	0	0	11	0	0	5	0	s	Bifidobacterium dentium	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium dentium
0	43	0	1	0	0	10	0	1	2	0	s	Bifidobacterium animalis	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium animalis
0	10	0	0	0	0	2	0	0	0	0	s1	Bifidobacterium animalis subsp. lactis	na;na;na;na;na;na;na
0	3	0	0	0	0	0	0	0	0	0	s2	Bifidobacterium animalis subsp. lactis ATCC 27673	na;na;na;na;na;na;na
0	0	0	0	0	0	2	0	0	0	0	s2	Bifidobacterium animalis subsp. lactis KLDS2.0603	na;na;na;na;na;na;na
0	4	0	0	0	0	0	0	0	0	0	s1	Bifidobacterium animalis subsp. animalis	na;na;na;na;na;na;na
0	9	0	0	0	0	2	0	1	3	0	s	Bifidobacterium scardovii	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium scardovii
0	9	0	0	0	0	2	0	1	3	0	s1	Bifidobacterium scardovii JCM 12489 = DSM 13734	na;na;na;na;na;na;na
1	8	0	1	0	0	1	0	0	4	0	s	Bifidobacterium pseudolongum	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pseudolongum
0	4	0	0	0	0	0	0	0	1	0	s1	Bifidobacterium pseudolongum PV8-2	na;na;na;na;na;na;na
0	2	0	0	0	0	0	0	0	0	0	s1	Bifidobacterium pseudolongum subsp. globosum	na;na;na;na;na;na;na
0	1	0	0	0	0	0	0	0	0	0	s2	Bifidobacterium pseudolongum subsp. globosum DSM 20092	na;na;na;na;na;na;na
0	0	0	0	0	0	0	0	0	1	0	s1	Bifidobacterium pseudolongum subsp. pseudolongum	na;na;na;na;na;na;na
0	3	0	5	0	0	4	0	0	1	0	s	Bifidobacterium pullorum	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium pullorum
0	3	0	5	0	0	4	0	0	1	0	s1	Bifidobacterium pullorum subsp. gallinarum	na;na;na;na;na;na;na
3	2	0	0	0	0	1	0	0	1	0	s	Bifidobacterium eulemuris	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium eulemuris
0	2	0	0	0	0	1	0	0	3	0	s	Bifidobacterium imperatoris	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium imperatoris
0	4	0	0	0	0	0	0	0	0	1	s	Bifidobacterium saguini	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium saguini
1	1	0	1	0	0	1	0	0	0	0	s	Bifidobacterium asteroides	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium asteroides
0	0	0	1	0	0	0	0	1	1	0	s	Bifidobacterium lemurum	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium lemurum
0	0	0	2	0	0	0	0	1	0	0	s	Bifidobacterium thermophilum	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium thermophilum
0	1	0	1	0	0	0	0	0	1	0	s	Bifidobacterium subtile	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium subtile
1	0	0	0	0	0	0	0	0	0	0	s	Bifidobacterium actinocoloniiforme	d__Bacteria;p__Actinobacteria;c__Actinomycetia;o__Bifidobacteriales;f__Bifidobacteriaceae;g__Bifidobacterium;s__Bifidobacterium actinocoloniiforme
